"user_id","first_name","last_name","date_start","date_end","ctc","net_pay","gross_pay","data_salary_basic_rate","data_salary_basic_type","currency","status","created_at"
"84509","","",2022-04-01,2022-04-30,0.0,0.0,0.0,9000,hourly,IDR,approved,2022-05-05 05:01:36.000
"92930","","",2022-04-01,2022-04-30,770000.0,770000.0,770000.0,55000,daily,IDR,approved,2022-05-05 05:03:05.000
"87864","","",2022-04-01,2022-04-30,4187381.0,4187381.0,4187381.0,3500000,monthly,IDR,approved,2022-05-05 05:03:57.000
"74050","","",2022-04-01,2022-04-30,1926548.74,1926548.74,1926548.74,1800000,monthly,IDR,approved,2022-05-05 05:06:54.000
"84932","","",2022-04-01,2022-04-30,351000.0,351000.0,351000.0,120000,daily,IDR,approved,2022-05-05 05:10:01.000
"84699","","",2022-04-01,2022-04-30,0.0,0.0,0.0,9000,hourly,IDR,approved,2022-05-05 05:10:42.000
"90711","","",2022-04-01,2022-04-30,1261159.0,1261159.0,1261159.0,65000,daily,IDR,approved,2022-05-05 05:10:59.000
"88348","","",2022-04-01,2022-04-30,2069295.0,2069295.0,2069295.0,2000000,monthly,IDR,approved,2022-05-05 05:12:53.000
"74049","","",2022-04-01,2022-04-30,1867178.0,1867178.0,1867178.0,1800000,monthly,IDR,approved,2022-05-05 05:14:15.000
"74465","","",2022-04-01,2022-04-30,1090251.0,1090251.0,1090251.0,45000,daily,IDR,approved,2022-05-05 05:16:21.000
"93607","","",2022-04-01,2022-04-30,234000.0,234000.0,234000.0,120000,daily,IDR,approved,2022-05-05 05:17:09.000
"83888","","",2022-04-01,2022-04-30,1686109.0,1686109.0,1686109.0,65000,daily,IDR,approved,2022-05-05 05:17:48.000
"74053","","",2022-04-01,2022-04-30,3610379.0,3610379.0,3610379.0,3500000,monthly,IDR,approved,2022-05-05 05:20:09.000
"83902","","",2022-04-01,2022-04-30,2758288.0,2758288.0,2758288.0,2810000,monthly,IDR,approved,2022-05-05 05:31:08.000
"84541","","",2022-04-01,2022-04-30,3988507.0,3988507.0,3988507.0,3500000,monthly,IDR,approved,2022-05-05 05:31:52.000
"83885","","",2022-04-01,2022-04-30,3100000.0,3100000.0,3100000.0,3000000,monthly,IDR,approved,2022-05-05 05:33:36.000
"74461","","",2022-04-01,2022-04-30,3243554.0,3243554.0,3243554.0,3000000,monthly,IDR,approved,2022-05-05 05:34:26.000
"74639","","",2022-04-01,2022-04-30,600000.0,600000.0,600000.0,40000,daily,IDR,approved,2022-05-05 05:36:10.000
"74042","","",2022-04-01,2022-04-30,2837882.74,2837882.74,2837882.74,2750000,monthly,IDR,approved,2022-05-05 05:36:44.000
"74556","","",2022-04-01,2022-04-30,1815912.0,1815912.0,1815912.0,1800000,monthly,IDR,approved,2022-05-05 05:37:07.000
"88357","","",2022-04-01,2022-04-30,1395000.0,1395000.0,1395000.0,1500000,monthly,IDR,approved,2022-05-05 05:37:54.000
"75834","","",2022-04-01,2022-04-30,0.0,0.0,0.0,120000,daily,IDR,approved,2022-05-05 05:38:43.000
"74054","","",2022-04-01,2022-04-30,1043228.0,1043228.0,1043228.0,45000,daily,IDR,approved,2022-05-05 05:39:00.000
"75218","","",2022-05-01,2022-05-31,668195.33333333,668195.33,668195.33333333,15000,hourly,IDR,approved,2022-06-03 21:37:24.000
"74053","","",2022-05-01,2022-05-31,3592349.0,3592349.0,3592349.0,3500000,monthly,IDR,approved,2022-06-10 07:33:35.000
"84541","","",2022-05-01,2022-05-31,3980861.0,3980861.0,3980861.0,3500000,monthly,IDR,approved,2022-06-10 07:35:19.000
"87864","","",2022-05-01,2022-05-31,5111810.0,5111810.0,5111810.0,3500000,monthly,IDR,approved,2022-06-10 07:36:33.000
"74052","","",2022-05-01,2022-05-31,1837992.0,1837992.0,1837992.0,1800000,monthly,IDR,approved,2022-06-10 07:38:29.000
"74049","","",2022-05-01,2022-05-31,1920912.0,1920912.0,1920912.0,1800000,monthly,IDR,approved,2022-06-10 07:39:24.000
"74050","","",2022-05-01,2022-05-31,1801082.74,1801082.74,1801082.74,1800000,monthly,IDR,approved,2022-06-10 07:40:30.000
"79738","","",2022-05-01,2022-05-31,1841842.74,1841842.74,1841842.74,1800000,monthly,IDR,approved,2022-06-10 07:42:16.000
"79765","","",2022-05-01,2022-05-31,2317762.74,2317762.74,2317762.74,1800000,monthly,IDR,approved,2022-06-10 07:43:29.000
"74461","","",2022-05-01,2022-05-31,2996515.0,2996515.0,2996515.0,3000000,monthly,IDR,approved,2022-06-10 07:44:12.000
"74042","","",2022-05-01,2022-05-31,2837882.74,2837882.74,2837882.74,2750000,monthly,IDR,approved,2022-06-10 07:45:22.000
"74556","","",2022-05-01,2022-05-31,1741270.0,1741270.0,1741270.0,1800000,monthly,IDR,approved,2022-06-10 07:46:02.000
"83885","","",2022-05-01,2022-05-31,3007472.0,3007472.0,3007472.0,3000000,monthly,IDR,approved,2022-06-10 07:46:44.000
