"type","dates","time_start","time_end","timezone","time_planned","break_time","leave_type","user_id"
work,2022-01-01,08:30:00,14:30:00,+08:00,21600,0,not specified,"84490"
work,2022-09-24,15:00:00,22:00:00,+08:00,25200,0,not specified,"79765"
free,2022-11-18,09:00:00,08:59:00,+08:00,7200,0,not specified,"74053"
work,2022-07-20,08:00:00,17:00:00,+08:00,32400,0,not specified,"128325"
work,2022-05-27,15:00:00,22:00:00,+08:00,25200,0,not specified,"74050"
work,2022-05-28,09:00:00,18:00:00,+08:00,28800,3600,not specified,"138225"
work,2022-05-19,08:30:00,14:30:00,+08:00,21600,0,not specified,"84541"
work,2022-07-22,09:00:00,18:00:00,+08:00,28800,3600,not specified,"132484"
work,2023-06-12,09:00:00,18:00:00,+08:00,28800,3600,not specified,"157837"
work,2022-06-10,08:00:00,15:00:00,+08:00,25200,0,not specified,"74465"
work,2021-12-04,15:00:00,22:00:00,+08:00,25200,0,not specified,"74556"
work,2022-09-24,08:30:00,14:30:00,+08:00,21600,0,not specified,"74053"
work,2021-12-19,09:00:00,18:00:00,+08:00,28800,3600,not specified,"146166"
work,2022-10-20,08:00:00,15:00:00,+08:00,25200,0,not specified,"74052"
free,2022-08-19,07:00:00,06:59:00,+08:00,7200,0,not specified,"84699"
free,2022-05-19,07:00:00,06:59:00,+08:00,7200,0,not specified,"84699"
work,2022-06-08,09:00:00,18:00:00,+08:00,28800,3600,not specified,"159217"
work,2022-02-25,15:00:00,22:00:00,+08:00,25200,0,not specified,"74556"
work,2021-11-02,09:00:00,18:00:00,+08:00,28800,3600,not specified,"132484"
work,2022-06-03,09:00:00,18:00:00,+08:00,28800,3600,not specified,"125748"
work,2022-08-16,09:00:00,18:00:00,+08:00,28800,3600,not specified,"125748"
work,2022-03-17,09:00:00,18:00:00,+08:00,28800,3600,not specified,"159207"
work,2022-10-13,09:00:00,18:00:00,+08:00,28800,3600,not specified,"157916"
work,2022-03-08,09:30:00,17:00:00,+08:00,27000,0,not specified,"90862"
work,2022-03-29,08:00:00,17:00:00,+08:00,32400,0,not specified,"74042"
free,2022-08-12,09:00:00,08:59:00,+08:00,7200,0,not specified,"75218"
work,2023-01-29,09:00:00,18:00:00,+08:00,28800,3600,not specified,"159207"
work,2023-08-25,09:00:00,18:00:00,+08:00,28800,3600,not specified,"138225"
work,2022-02-18,08:00:00,15:00:00,+08:00,25200,0,not specified,"79765"
work,2022-07-31,09:00:00,18:00:00,+08:00,28800,3600,not specified,"125721"
work,2022-03-01,08:00:00,18:00:00,+08:00,36000,0,not specified,"75218"
work,2022-12-19,09:00:00,18:00:00,+08:00,28800,3600,not specified,"159217"
work,2022-07-09,09:00:00,18:00:00,+08:00,28800,3600,not specified,"155509"
work,2023-02-13,09:00:00,18:00:00,+08:00,28800,3600,not specified,"159217"
work,2023-06-02,09:00:00,18:00:00,+08:00,28800,3600,not specified,"132484"
work,2023-06-12,09:00:00,18:00:00,+08:00,28800,3600,not specified,"159217"
work,2023-01-04,09:00:00,18:00:00,+08:00,28800,3600,not specified,"146166"
work,2023-09-24,09:00:00,18:00:00,+08:00,28800,3600,not specified,"129675"
work,2022-10-10,08:00:00,17:00:00,+08:00,32400,0,not specified,"90377"
work,2022-05-01,09:00:00,18:00:00,+08:00,28800,3600,not specified,"159217"
work,2023-05-12,09:00:00,18:00:00,+08:00,28800,3600,not specified,"160306"
